tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,total_amount
01/09/2015 0:06,01/09/2015 0:20,4.7,-73.97310638,40.75504684,-73.9901123,40.71517563,17.3
01/09/2015 0:06,01/09/2015 0:28,12.35,-73.77690887,40.64671326,-73.90036774,40.74187088,36.8
01/09/2015 0:06,01/09/2015 0:12,1.6,-73.9991684,40.72790146,-73.9961319,40.74431229,8.3
01/09/2015 0:06,01/09/2015 0:18,7.12,-73.87355804,40.77405167,-73.95812225,40.71711731,26.16
01/09/2015 0:06,01/09/2015 0:09,0.57,-73.98400879,40.75502396,-73.98027802,40.76081848,5.3
01/09/2015 0:06,01/09/2015 0:21,4.3,-73.95617676,40.77978134,-73.92126465,40.82744598,19.56
01/09/2015 0:06,01/09/2015 0:14,2.6,-74.00388336,40.72597885,-73.99015808,40.75626755,12.96
01/09/2015 0:06,01/09/2015 0:09,0.78,-73.98770142,40.76863098,-73.9821167,40.77806091,7.54
01/09/2015 0:06,01/09/2015 0:17,6.1,-73.78348541,40.64857101,-73.86450958,40.66502762,19.3
01/09/2015 0:06,01/09/2015 0:11,0.99,-73.98878479,40.74482346,-74.0014267,40.74654388,8.16
01/09/2015 0:06,01/09/2015 0:19,2.6,-73.99520874,40.72527313,-73.99267578,40.75338745,14.72
01/09/2015 0:06,01/09/2015 0:19,3.6,-73.98979187,40.73455048,-73.98488617,40.69186783,17.75
01/09/2015 0:06,01/09/2015 0:15,1.7,-73.98742676,40.76749039,-73.98742676,40.76749039,9.8
01/09/2015 0:06,01/09/2015 0:13,1.59,-74.00706482,40.73996353,-73.98881531,40.74853134,8.3
01/09/2015 0:06,01/09/2015 0:14,1.31,-73.99810028,40.73609161,-73.98394012,40.7256012,9.8
01/09/2015 0:06,01/09/2015 0:24,2.78,-73.96844482,40.75518036,-73.98373413,40.72577667,15.3
01/09/2015 0:06,01/09/2015 0:18,7.04,-73.98275757,40.73937988,-73.8720932,40.72647858,26.84
01/09/2015 0:06,01/09/2015 0:14,2.45,-73.98259735,40.75638962,-73.95545959,40.77340698,12.8
01/09/2015 0:06,01/09/2015 0:35,5.73,-73.98542023,40.75992584,-73.98638916,40.71854782,26.3
01/09/2015 0:06,01/09/2015 0:19,2.87,-73.9875412,40.77584839,-73.97183228,40.74971771,14.76
01/09/2015 0:06,01/09/2015 0:27,5.5,-73.954422,40.71071625,-73.9786377,40.7563858,22.8
01/09/2015 0:06,01/09/2015 0:09,0.47,-73.98908997,40.73394012,-73.99007416,40.72938538,5.8
01/09/2015 0:06,01/09/2015 0:15,2.4,-73.98886108,40.74846649,-73.97924042,40.77740479,10.8
01/09/2015 0:06,01/09/2015 0:20,2.9,-73.98388672,40.72554779,-73.9664917,40.76195908,16.56
01/09/2015 0:06,01/09/2015 0:20,3.7,-73.98304749,40.75613403,-73.94644928,40.79639816,16.8
01/09/2015 0:06,01/09/2015 0:32,9.49,-73.99256134,40.72655869,-73.94509888,40.83543015,31.8
